Library Code,Library Name,Latitude,Longitude
129001,광산구립신가도서관,35.1827519,126.8285849
129005,광산구립운남어린이도서관,35.1730207,126.8219798
129223,광산구립이야기꽃도서관,35.1484289,126.7798985
129190,광산구립장덕도서관,35.1910934,126.8140936
129002,광산구립첨단도서관,35.2167923,126.832239
146049,광양용강도서관,34.9741298,127.607381
146050,광양중마도서관,34.9374495,127.6905967
146024,광양중앙도서관,34.9802034,127.5875486
146177,광양희망도서관,34.9751297,127.5805497
129225,광주 북구 양산도서관,37.6036883,127.0226004
129131,광주 북구 운암도서관,35.1801822,126.8753206
124010,광주 북구 일곡도서관,35.208023,126.895467
129226,광주 북구 중흥도서관,35.169805,126.9144483
124009,광주 서구 공공도서관,35.1308667,126.8603824
129222,광주 서구 상록도서관,35.1551865,126.8889039
129004,광주 서구 어린이생태학습도서관,35.1297987,126.8818583
124003,광주광역시립무등도서관,35.1765283,126.9253482
124004,광주광역시립사직도서관,35.1395202,126.9139332
124008,광주광역시립산수도서관,35.1543981,126.9284698
124012,광주남구문화정보도서관,35.1220332,126.9175553
129224,광주남구청소년도서관,35.1207747,126.9071242
129219,광주남구푸른길도서관,35.1292558,126.8951485
124001,광주송정다가치문화도서관,35.1453164,126.7996039
141235,광주시립곤지암도서관,37.3489171,127.3410147
141576,광주시립능평도서관,37.3496999,127.1671923
141236,광주시립오포도서관,37.3692382,127.2312356
141114,광주시립중앙도서관,37.4105616,127.2528784
141512,광주시립초월도서관,37.3870605,127.2909196
124002,광주중앙도서관,35.1485032,126.9253348
129221,광주중앙도서관 분관 최상준도서관,35.1876539,126.897735
124011,광주학생교육문화회관,35.1570531,126.858156
124005,광주학생독립운동기념회관,35.1416737,126.8659601
111036,광진정보도서관,37.5510185,127.1105699
144033,광천공공도서관,36.4959512,126.6199846
143001,괴산교육도서관,36.8109221,127.7920861
145133,교동골작은도서관,35.7969055,126.8797427
141129,구갈희망누리도서관,37.2726108,127.13032
741008,구래작은도서관,37.2937629,127.0000255
146040,구례군 매천도서관,35.2025,127.4627778
111489,구로기적의도서관,37.5071053,126.8775035
111099,구로꿈나무어린이도서관,37.4898684,126.8872465
